# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
㑇	zhou	3
㑊	yi	3
㕮	fu	3
㘎	han	3
㙍	duo	1
㙘	yao	3
㙦	xie	3
㛃	jie	1
㛚	tong	3
㛹	pian	3
㟃	si	1
㠇	jiu	3
㠓	meng	3
㤘	zhou	10
㥄	ling	11
㧐	song	10
㧑	hui	48
㧟	kuai	10
㫰	lang	3
㬊	huan	2
㬎	xian	7
㬚	che	3
㭎	gang	15
㭕	qu	3
㮾	lang	4
㰀	li	3
㳇	fu	3
㳘	chong	3
㳚	xu	6
㴔	ji	3
㵐	jue	3
㶲	yong	39
㸆	kao	1
㸌	huo	1
㺄	yu	3
㻬	tu	4
㽏	gan	2
㿠	huang	3
䁖	lou	1
䂮	lve	16
䃅	di	46
䃎	zha	3
䅟	can	1
䌹	jiong	45
䎃	ran	3
䎖	zeng	3
䏝	zhuan	1
䏡	shi	3
䏲	ti	10
䐃	jun	3
䓖	qiong	2
䓛	qu	1
䓨	ying	6
䓫	qi	3
䓬	zhuo	81
䗖	di	3
䗛	xiu	5
䗪	zhe	3
䗴	ting	3
䜣	xin	71
䝙	chu	21
䢺	chu	3
䢼	gong	3
䣘	tang	3
䥽	po	6
䦃	zhuo	10
䲟	yin	13
䲠	chun	19
䲢	teng	146
䴓	shi	10
䴔	jiao	3
䴕	lie	17
䴖	jing	3
䴗	ju	3
䴘	ti	18
䴙	pi	16
䶮	yan	74
一	yi	1158807
一一	yi yi	94
一丁点儿	yi ding dian er	58
一丈	yi zhang	329
一下	yi xia	170793
一专多能	yi zhuan duo neng	3
一世	yi shi	7347
一丘之貉	yi qiu zhi he	65
一丝一毫	yi si yi hao	61
一丝不挂	yi si bu gua	13
一丝不苟	yi si bu gou	99
一个	yi ge	662355
一个劲儿	yi ge jin er	156
一个字	yi ge zi	3737
一个巴掌拍不响	yi ge ba zhang pai bu xiang	235
一个心眼儿	yi ge xin yan er	1
一个月	yi ge yue	22613
一个赞	yi ge zan	949
一个非	yi ge fei	10147
一举	yi ju	541
一举一动	yi ju yi dong	369
一举两得	yi ju liang de	191
一举成名	yi ju cheng ming	80
一了百了	yi liao bai liao	145
一争高低	yi zheng gao di	16
一事无成	yi shi wu cheng	273
一二	yi er	85
一五一十	yi wu yi shi	24
一些	yi xie	56346
一人之下	yi ren zhi xia	60
一代	yi dai	6271
一件	yi jian	11788
一件事	yi jian shi	2373
一任	yi ren	79
一份	yi fen	13044
一伙儿	yi huo er	37
一会儿	yi hui er	8257
一位	yi wei	23473
一体	yi ti	1549
一体化	yi ti hua	740
一侧	yi ce	1103
一元化	yi yuan hua	44
一共	yi gong	4501
一再	yi zai	94
一决雌雄	yi jue ci xiong	22
一准	yi zhun	58
一刀两断	yi dao liang duan	65
一刀切	yi dao qie	137
一分为二	yi fen wei er	290
一切	yi qie	34823
一刹那	yi cha na	216
一刻	yi ke	3964
一动不动	yi dong bu dong	306
一劳永逸	yi lao yong yi	108
一勺	yi shao	333
一半	yi ban	14768
一半天	yi ban tian	28
一卦	yi gua	305
一厢情愿	yi xiang qing yuan	390
一去不复返	yi qu bu fu fan	721
一反常态	yi fan chang tai	30
一发千钧	yi fa qian jun	5
一口	yi kou	11612
一口气	yi kou qi	2262
一句	yi ju	26742
一句话	yi ju hua	8795
一叶知秋	yi ye zhi qiu	52
一同	yi tong	9484
一吐为快	yi tu wei kuai	13
一向	yi xiang	2626
一味	yi wei	758
一呼百应	yi hu bai ying	62
一呼百诺	yi hu bai nuo	11
一命呜呼	yi ming wu hu	39
一品红	yi pin hong	8
一哄而上	yi hong er shang	4
一哄而散	yi hong er san	11
一哄而起	yi hong er qi	2
一唱一和	yi chang yi he	58
一唱百和	yi chang bai he	4
一回事	yi hui shi	1042
